id	source	Description	rnaseq_gene_count_Phum_OR502AA_2dpi	rnaseq_gene_count_Phum_OR502AA_3dpi	rnaseq_gene_count_Phum_OR502AA_4dpi
Phum-OR502AA_012_000366.1	eggnog	Scaffold protein for the de novo synthesis of iron- sulfur (Fe-S) clusters within mitochondria, which is required for maturation of both mitochondrial and cytoplasmic 2Fe-2S and 4Fe-4S proteins	2236	2236	3750
Phum-OR502AA_012_000110.1	eggnog	Domain Homologous to E6-AP Carboxyl Terminus with	235	368	434
Phum-OR502AA_012_000111.1	blastp	Homology to Phytophthora idaei predicted protein KAG3114746.1	1	8	30
Phum-OR502AA_012_000112.1	eggnog	cobalamin binding	222	381	594
Phum-OR502AA_012_000113.1	blastp	Homology to Peronospora farinosa predicted protein CAH0489666.1	117	120	188
Phum-OR502AA_012_000365.1	eggnog	ketohexokinase activity	16	26	39
Phum-OR502AA_012_000364.1	eggnog	ketohexokinase activity	13	17	23
Phum-OR502AA_012_000363.1	eggnog	ketohexokinase activity	28	58	70
Phum-OR502AA_012_000362.1	eggnog	domain-containing protein	86	83	176
Phum-OR502AA_012_000361.1	unannotated	Hypothetical protein of unknown function	0	0	0
Phum-OR502AA_012_000114.1	eggnog	domain-containing protein	375	413	605
Phum-OR502AA_012_000360.1	eggnog	Translation initiation factor SUI1	493	566	745
Phum-OR502AA_012_000115.1	eggnog	WD domain, G-beta repeat	30	431	373
Phum-OR502AA_012_000359.1	eggnog	Protein of unknown function (DUF1279)	919	1132	1499
Phum-OR502AA_012_000116.1	interproscan	PTHR28650 domain-containing protein	142.985	300.652	435.853
Phum-OR502AA_012_000358.1	blastp	Homology to Phytophthora pseudosyringae predicted protein KAG7381205.1	49.696	65.865	30.624
Phum-OR502AA_012_000117.1	blastp	Homology to Phytophthora pseudosyringae predicted protein KAG7381205.1	53.304	130.135	251.376
Phum-OR502AA_012_000357.1	interproscan	PTHR28650 domain-containing protein	40.015	36.348	77.147
Phum-OR502AA_012_000118.1	eggnog	GTPase-activator protein for Ras-like GTPase	23	133	247
Phum-OR502AA_012_000119.1	unannotated	Hypothetical protein of unknown function	0	0	0
Phum-OR502AA_012_000120.1	blastp	Homology to Peronospora farinosa predicted protein CAH0487853.1	334	607	1071
Phum-OR502AA_012_000356.1	interproscan	PTHR36971 domain-containing protein	53	86	129
Phum-OR502AA_012_000121.1	eggnog	domain-containing protein	7087	7634	10315
Phum-OR502AA_012_000355.1	eggnog	Helicase associated domain (HA2) Add an annotation	455	687	923
Phum-OR502AA_012_000122.1	eggnog	Zinc finger, C2H2 type	98	254	381
Phum-OR502AA_012_000354.1	eggnog	assists the folding of proteins upon ATP hydrolysis	3235	4366	5632
Phum-OR502AA_012_000123.1	eggnog	DUF4217	188	129	188
Phum-OR502AA_012_000353.1	blastp	Homology to Phytophthora nicotianae predicted protein ETK74739.1	182	194	231
Phum-OR502AA_012_000124.1	eggnog	Survival motor neuron (SMN) interacting protein 1 (SIP1)	55	94	133
Phum-OR502AA_012_000352.1	blastp	Homology to Phytophthora nicotianae predicted protein XP_008896955.1	1	20	46
Phum-OR502AA_012_000125.1	eggnog	Domain of unknown function (DUF4505)	148	288	330
Phum-OR502AA_012_000126.1	eggnog	domain-containing protein	135	217	364
Phum-OR502AA_012_000351.1	eggnog	2OG-Fe(II) oxygenase superfamily	39	105	149
Phum-OR502AA_012_000350.1	eggnog	HECT-domain (ubiquitin-transferase)	199	302	445
Phum-OR502AA_012_000349.1	eggnog	domain-containing protein	2265	2586	3710
Phum-OR502AA_012_000127.1	blastp	Homology to Peronospora farinosa predicted protein CAH0487857.1	66	35	72
Phum-OR502AA_012_000128.1	eggnog	Tetratricopeptide repeat	0	18	34
Phum-OR502AA_012_000348.1	blastp	Homology to Phytophthora fragariae predicted protein KAE8906268.1	60	86	132
Phum-OR502AA_012_000347.1	unannotated	Hypothetical protein of unknown function	4	20	19
Phum-OR502AA_012_000129.1	blastp	Homology to Phytophthora capsici predicted protein KAG1711849.1	395.637	776.766	1392.467
Phum-OR502AA_012_000346.1	eggnog	Actin	57.296	264.452	273
Phum-OR502AA_012_000130.1	eggnog	DNA primase activity	28	91	106
Phum-OR502AA_012_000345.1	eggnog	TatD related DNase	2	13	8
Phum-OR502AA_012_000131.1	eggnog	domain-containing protein	472	899	1320
Phum-OR502AA_012_000132.1	eggnog	Actin	6.704	4.548	0
Phum-OR502AA_012_000344.1	blastp	Homology to Phytophthora capsici predicted protein KAG1711849.1	181.363	492.234	984.533
Phum-OR502AA_012_000343.1	eggnog	Crinkler (CRN) family protein	0	4	1
Phum-OR502AA_012_000133.1	eggnog	Protein tyrosine kinase	95	169	181
Phum-OR502AA_012_000342.1	eggnog	endosomal vesicle fusion	109	208	272
Phum-OR502AA_012_000341.1	eggnog	zinc finger	427	599	780
Phum-OR502AA_012_000134.1	eggnog	Low molecular weight phosphatase family	123	196	251
Phum-OR502AA_012_000340.1	blastp	Homology to Phytophthora fragariae predicted protein KAE8949967.1	60	145	170
Phum-OR502AA_012_000339.1	eggnog	Required for 40S ribosome biogenesis	254	267	350
Phum-OR502AA_012_000135.1	blastp	Homology to Phytophthora sojae predicted protein XP_009517770.1	70	165	225
Phum-OR502AA_012_000136.1	eggnog	Trm112p-like protein	156	106	169
Phum-OR502AA_012_000338.1	eggnog	Complex I intermediate-associated protein 30 (CIA30)	190	195	410
Phum-OR502AA_012_000137.1	eggnog	domain-containing protein	167	222	333
Phum-OR502AA_012_000337.1	eggnog	Centriolar protein SAS N-terminal	0	8	14
Phum-OR502AA_012_000138.1	interproscan	PTHR38019 domain-containing protein	22	60	66
Phum-OR502AA_012_000139.1	eggnog	domain-containing protein	197	356	531
Phum-OR502AA_012_000336.1	eggnog	Calpain family cysteine protease	1	100	90
Phum-OR502AA_012_000335.1	interproscan	PTHR35396 domain-containing protein	1	49	118
Phum-OR502AA_012_000140.1	interproscan	PTHR31827 domain-containing protein	0	23	174
Phum-OR502AA_012_000334.1	eggnog	WD40 repeats	217	307	407
Phum-OR502AA_012_000141.1	interproscan	PTHR35396 domain-containing protein	0	1	3
Phum-OR502AA_012_000142.1	eggnog	ALG3 protein	472	637	922
Phum-OR502AA_012_000143.1	eggnog	Required for the first step in the synthesis of diphthamide, a post-translational modification of histidine which occurs in translation elongation factor 2	170	146	193
Phum-OR502AA_012_000333.1	eggnog	glycogenin glucosyltransferase activity	388	655	883
Phum-OR502AA_012_000144.1	eggnog	Extension to Ser/Thr-type protein kinases	52	599	831
Phum-OR502AA_012_000332.1	eggnog	Enoyl-(Acyl carrier protein) reductase	315	764	833
Phum-OR502AA_012_000145.1	eggnog	WD domain, G-beta repeat	318	468	611
Phum-OR502AA_012_000331.1	eggnog	Rubisco LSMT substrate-binding	215	339	486
Phum-OR502AA_012_000146.1	eggnog	positive regulation of mitochondrial fission	52	116	184
Phum-OR502AA_012_000330.1	eggnog	Aldo/keto reductase family	359	615	860
Phum-OR502AA_012_000147.1	eggnog	Papain family cysteine protease	4517	5577	7357
Phum-OR502AA_012_000329.1	eggnog	Kinesin motor, catalytic domain. ATPase	190	246	326
Phum-OR502AA_012_000328.1	eggnog	DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates	428	305	355
Phum-OR502AA_012_000327.1	eggnog	transposition, RNA-mediated	0	0	0
Phum-OR502AA_012_000148.1	unannotated	Hypothetical protein of unknown function	193	240	620
Phum-OR502AA_012_000149.1	eggnog	phosphatidylinositol-3,4,5-trisphosphate 3-phosphatase activity	357	643	949
Phum-OR502AA_012_000150.1	eggnog	BT1 family	183	113	237
Phum-OR502AA_012_000151.1	eggnog	Fused Ig-PH domain of plant-specific actin-binding protein	252	628	785
Phum-OR502AA_012_000152.1	eggnog	outer dynein arm assembly	30	119	158
Phum-OR502AA_012_000326.1	eggnog	Pellino	28.35	62.844	91.107
Phum-OR502AA_012_000325.1	eggnog	voltage-gated potassium channel activity	10.373	21.948	42.219
Phum-OR502AA_012_000153.1	eggnog	voltage-gated potassium channel activity	7.627	96.052	86.781
Phum-OR502AA_012_000154.1	eggnog	Pellino	58.65	153.156	208.893
Phum-OR502AA_012_000155.1	eggnog	Transcription initiation factor IIF, alpha subunit (TFIIF-alpha)	314	375	602
Phum-OR502AA_012_000156.1	eggnog	3'-5'-exoribonuclease activity	586	1162	2046
Phum-OR502AA_012_000157.1	eggnog	Regulator of volume decrease after cellular swelling	73	107	125
Phum-OR502AA_012_000324.1	eggnog	motif in proteasome subunits, Int-6, Nip-1 and TRIP-15	2160	3322	4120
Phum-OR502AA_012_000323.1	blastp	Homology to Phytophthora pseudosyringae predicted protein KAG7384083.1	14	36	55
Phum-OR502AA_012_000158.1	eggnog	Protein tyrosine kinase	96	120	174
Phum-OR502AA_012_000322.1	unannotated	Hypothetical protein of unknown function	1	36	20
Phum-OR502AA_012_000321.1	blastp	Homology to Phytophthora idaei predicted protein KAG3111668.1	5	84	64
Phum-OR502AA_012_000320.1	eggnog	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily	515	2785	2862
Phum-OR502AA_012_000159.1	eggnog	Hydantoinase B/oxoprolinase	1819	2943	3829
Phum-OR502AA_012_000319.1	eggnog	zinc finger	152	150	238
Phum-OR502AA_012_000160.1	eggnog	CAF1 family ribonuclease	728	1022	1261
Phum-OR502AA_012_000318.1	eggnog	Signal recognition particle receptor beta subunit	348	389	523
Phum-OR502AA_012_000161.1	eggnog	domain-containing protein	527	485	783
Phum-OR502AA_012_000317.1	eggnog	Protein of unknown function DUF111	135	188	214
Phum-OR502AA_012_000316.1	eggnog	Elicitin	1908	1456	2653
Phum-OR502AA_012_000162.1	eggnog	P-type ATPase (P-ATPase) superfamily	1.28	5.366	21.112
Phum-OR502AA_012_000315.1	unannotated	Hypothetical protein of unknown function	0	0	0
Phum-OR502AA_012_000163.1	eggnog	mTERF	138	178	298
Phum-OR502AA_012_000164.1	interproscan	PTHR31973 domain-containing protein	137	250.97	302.944
Phum-OR502AA_012_000314.1	blastp	Homology to Phytophthora cinnamomi predicted protein KAG6615230.1	197.886	464.913	838.818
Phum-OR502AA_012_000313.1	blastp	Homology to Phytophthora nicotianae predicted protein ETP04417.1	79	197	238
Phum-OR502AA_012_000165.1	eggnog	intracellular sterol transport (GRAMD1C)	392	468	583
Phum-OR502AA_012_000312.1	blastp	Homology to Phytophthora nicotianae predicted protein XP_008896863.1	96	1242	1084
Phum-OR502AA_012_000311.1	eggnog	P-type ATPase (P-ATPase) superfamily	30.72	687.634	2342.888
Phum-OR502AA_012_000310.1	eggnog	Specifically deglycosylates the denatured form of N- linked glycoproteins in the cytoplasm and assists their proteasome-mediated degradation	335	594	781
Phum-OR502AA_012_000166.1	interproscan	PTHR21549 domain-containing protein	40	146	150
Phum-OR502AA_012_000309.1	interproscan	PTHR31827 domain-containing protein	169	197	262
Phum-OR502AA_012_000167.1	blastp	Homology to Peronospora belbahrii predicted protein CAH0480938.1	194	382	474
Phum-OR502AA_012_000168.1	eggnog	Trehalose-phosphatase	213	392	753
Phum-OR502AA_012_000308.1	eggnog	Guanine nucleotide exchange factor synembryn	66	195	236
Phum-OR502AA_012_000169.1	eggnog	FKBP-type peptidyl-prolyl cis-trans isomerase	3783	3439	4666
Phum-OR502AA_012_000170.1	eggnog	Tetratricopeptide repeat	13	36	44
Phum-OR502AA_012_000171.1	eggnog	Tetratricopeptide repeat	109	193	225
Phum-OR502AA_012_000172.1	eggnog	domain-containing protein	567	809	979
Phum-OR502AA_012_000307.1	blastp	Homology to Phytophthora palmivora predicted protein POM60147.1	1155	829	1132
Phum-OR502AA_012_000173.1	eggnog	Mannosyltransferase putative	163	219	345.296
Phum-OR502AA_012_000306.1	eggnog	domain-containing protein	9	17	25
Phum-OR502AA_012_000174.1	blastp	Homology to Phytophthora fragariaefolia predicted protein GMF36992.1	0	3	8
Phum-OR502AA_012_000305.1	eggnog	Mannosyltransferase putative	0	0	2.704
Phum-OR502AA_012_000304.1	blastp	Homology to Phytophthora idaei predicted protein KAG3168261.1	26	156	209
Phum-OR502AA_012_000303.1	eggnog	Sigma factor PP2C-like phosphatases	573	1451	2017
Phum-OR502AA_012_000302.1	eggnog	Mannosyltransferase putative	138	308	398
Phum-OR502AA_012_000301.1	eggnog	Protein kinase C conserved region 2 (CalB)	109	187	271
Phum-OR502AA_012_000175.1	eggnog	Acetyl-coenzyme A transporter 1	837	684	1339
Phum-OR502AA_012_000300.1	eggnog	modification-dependent protein catabolic process	124	226	487
Phum-OR502AA_012_000176.1	eggnog	Cysteine-rich secretory protein family	161.929	408.898	935.882
Phum-OR502AA_012_000299.1	eggnog	Cysteine-rich secretory protein family	10.071	36.102	46.137
Phum-OR502AA_012_000298.1	eggnog	Cysteine-rich secretory protein family	96	202	247.981
Phum-OR502AA_012_000297.1	eggnog	SLIDE	691	1134	1540
Phum-OR502AA_012_000177.1	blastp	Homology to Peronospora farinosa;Peronospora effusa predicted protein RMX65754.1	243	387	593
Phum-OR502AA_012_000296.1	eggnog	domain-containing protein	522	1093	1570
Phum-OR502AA_012_000178.1	eggnog	Protein kinase C conserved region 2 (CalB)	19	195	267
Phum-OR502AA_012_000179.1	blastp	Homology to Phytophthora cactorum predicted protein KAG2787166.1	123	142	201
Phum-OR502AA_012_000295.1	eggnog	Catalyzes the dehydration of the S-form of NAD(P)HX at the expense of ATP, which is converted to ADP	365	625	840
Phum-OR502AA_012_000180.1	unannotated	Hypothetical protein of unknown function	0	2	3
Phum-OR502AA_012_000181.1	eggnog	Domain of unknown function (DUF1974)	1014	1694	2177
Phum-OR502AA_012_000294.1	blastp	Homology to Peronospora destructor predicted protein CAI5716249.1	554	583	761
Phum-OR502AA_012_000182.1	eggnog	Mycolic acid cyclopropane synthetase	2060	1060	1506
Phum-OR502AA_012_000293.1	interproscan	SSF47473 domain-containing protein	0	12	25
Phum-OR502AA_012_000183.1	blastp	Homology to Phytophthora citrophthora predicted protein KAK1947016.1	0	36	35
Phum-OR502AA_012_000184.1	blastp	Homology to Phytophthora palmivora predicted protein POM59442.1	169.443	238.55	339.322
Phum-OR502AA_012_000292.1	blastp	Homology to Phytophthora sojae predicted protein XP_009517549.1	176.557	266.45	413.678
Phum-OR502AA_012_000291.1	eggnog	Enoyl-(Acyl carrier protein) reductase	140	401	488
Phum-OR502AA_012_000290.1	eggnog	N-acetyldiaminopimelate deacetylase activity	346	441	629
Phum-OR502AA_012_000185.1	eggnog	The coatomer is a cytosolic protein complex that binds to dilysine motifs and reversibly associates with Golgi non- clathrin-coated vesicles, which further mediate biosynthetic protein transport from the ER, via the Golgi up to the trans Golgi network	3187	3985	5359
Phum-OR502AA_012_000289.1	eggnog	Glycosyl hydrolase family 47	451	473	717
Phum-OR502AA_012_000186.1	eggnog	Endoplasmic reticulum-based factor for assembly of V-ATPase	145	199	264
Phum-OR502AA_012_000187.1	eggnog	NEMP family	147	174	309
Phum-OR502AA_012_000288.1	interproscan	PTHR31827 domain-containing protein	56	102	222
Phum-OR502AA_012_000287.1	eggnog	Protein kinase C conserved region 2 (CalB)	275	445	591
Phum-OR502AA_012_000188.1	eggnog	Protein kinase C conserved region 2 (CalB)	475	565	943
Phum-OR502AA_012_000286.1	eggnog	Hsp70 protein	610	500	606
Phum-OR502AA_012_000189.1	eggnog	HNH endonuclease	154	805	656
Phum-OR502AA_012_000285.1	eggnog	Aminotransferase class I and II	4458	5019	6728
Phum-OR502AA_012_000190.1	eggnog	Domain in histone families 1 and 5	4000	9942	14389
Phum-OR502AA_012_000284.1	eggnog	Centrosomal protein	2	47	74
Phum-OR502AA_012_000191.1	eggnog	domain-containing protein	416	1274	2051
Phum-OR502AA_012_000192.1	eggnog	Bromodomain extra-terminal - transcription regulation	1841	3244	4282
Phum-OR502AA_012_000283.1	interproscan	PTHR32083 domain-containing protein	13	49	136
Phum-OR502AA_012_000282.1	eggnog	domain-containing protein	338	296	377
Phum-OR502AA_012_000193.1	eggnog	C2H2 type zinc-finger (2 copies)	440	341	405
Phum-OR502AA_012_000194.1	eggnog	Mo25-like	420	563	647
Phum-OR502AA_012_000195.1	eggnog	domain-containing protein	134	402	791
Phum-OR502AA_012_000196.1	eggnog	Las1-like	41	52	54
Phum-OR502AA_012_000281.1	eggnog	C-terminal, D2-small domain, of ClpB protein	1395	1649	2267
Phum-OR502AA_012_000197.1	eggnog	Ring finger	635	1050	1461
Phum-OR502AA_012_000280.1	eggnog	Ubiquitin-2 like Rad60 SUMO-like	6	21	70
Phum-OR502AA_012_000198.1	blastp	Homology to Phytophthora pseudosyringae predicted protein KAG7387405.1	194	327	518
Phum-OR502AA_012_000279.1	eggnog	Integral membrane protein S linking to the trans Golgi network	42	95	104
Phum-OR502AA_012_000199.1	eggnog	Fungal trichothecene efflux pump (TRI12)	232	448	574
Phum-OR502AA_012_000278.1	interproscan	PTHR47357 domain-containing protein	569	839	1320
Phum-OR502AA_012_000200.1	blastp	Homology to Phytophthora pseudosyringae predicted protein KAG7387410.1	180	342	515
Phum-OR502AA_012_000277.1	eggnog	Bestrophin, RFP-TM, chloride channel	260	469	627
Phum-OR502AA_012_000201.1	eggnog	Autophagy protein Apg6	123	212	310
Phum-OR502AA_012_000276.1	interproscan	PTHR35213 domain-containing protein	142	171	178
Phum-OR502AA_012_000275.1	eggnog	autophagosome maturation	554	1172	1860
Phum-OR502AA_012_000274.1	eggnog	TRAF-type zinc finger	5	27	76
Phum-OR502AA_012_000202.1	eggnog	protein tyrosine/serine/threonine phosphatase activity	0	73	120
Phum-OR502AA_012_000273.1	eggnog	tRNA 5'-leader removal	279.803	592.278	719.895
Phum-OR502AA_012_000203.1	eggnog	tRNA 5'-leader removal	178.731	319.763	436.202
Phum-OR502AA_012_000272.1	eggnog	Biopterin-dependent aromatic amino acid hydroxylase	979	1337	1646
Phum-OR502AA_012_000204.1	eggnog	domain-containing protein	1908	2517	3392
Phum-OR502AA_012_000205.1	eggnog	domain-containing protein	56	168	191
Phum-OR502AA_012_000206.1	eggnog	Serine carboxypeptidase	105	219	297
Phum-OR502AA_012_000271.1	eggnog	tRNA 5'-leader removal	100.269	217.237	232.798
Phum-OR502AA_012_000207.1	eggnog	tRNA 5'-leader removal	564.197	1322.722	1557.105
Phum-OR502AA_012_000208.1	interproscan	PTHR12459 domain-containing protein	103	152	212
Phum-OR502AA_012_000209.1	eggnog	FYVE zinc finger	33	84	165
Phum-OR502AA_012_000210.1	eggnog	domain-containing protein	129	235	482
Phum-OR502AA_012_000270.1	eggnog	GHMP kinases C terminal	728	731	987
Phum-OR502AA_012_000211.1	eggnog	DNA Topoisomerase I (eukaryota)	857	1160	1609
Phum-OR502AA_012_000269.1	eggnog	ankyrin repeats	263	314	479
Phum-OR502AA_012_000212.1	blastp	Homology to Phytophthora infestans predicted protein KAF4044193.1	33	42	61
Phum-OR502AA_012_000213.1	interproscan	PTHR13510 domain-containing protein	99	260	336
Phum-OR502AA_012_000214.1	eggnog	DAHP synthetase I family	4337	11173	13410
Phum-OR502AA_012_000268.1	eggnog	Iguana/Dzip1-like DAZ-interacting protein N-terminal	51	276	180
Phum-OR502AA_012_000215.1	eggnog	Transcription factor subunit Med10 of Mediator complex	240	275	453
Phum-OR502AA_012_000267.1	eggnog	voltage-gated potassium channel activity	6	44	63
Phum-OR502AA_012_000266.1	eggnog	domain-containing protein	2	51	60
Phum-OR502AA_012_000265.1	eggnog	Ion transport protein	5	71	68
Phum-OR502AA_012_000216.1	eggnog	domain-containing protein	8	143	124
Phum-OR502AA_012_000264.1	blastp	Homology to Peronospora belbahrii predicted protein CAH0480800.1	163	166	260
Phum-OR502AA_012_000217.1	interproscan	PTHR12459 domain-containing protein	138	171	220
Phum-OR502AA_012_000218.1	eggnog	Ankyrin repeats (3 copies)	4	46	53
Phum-OR502AA_012_000263.1	eggnog	Sulfite exporter TauE/SafE	204	401	442
Phum-OR502AA_012_000219.1	interproscan	PTHR14312 domain-containing protein	35	230	228
Phum-OR502AA_012_000262.1	eggnog	internal peptidyl-lysine acetylation	346	523	775
Phum-OR502AA_012_000261.1	eggnog	domain-containing protein	193	195	255
Phum-OR502AA_012_000220.1	eggnog	Type III restriction enzyme, res subunit	4965	4023	5980
